idindonesia,tanggal,countryregion,confirmed,deaths,recovered,treated,daily_confirmed,daily_deaths,daily_recovered
17,2020-03-02,Indonesia,2,0,0,2,2,0,0
18,2020-03-03,Indonesia,2,0,0,2,0,0,0
19,2020-03-04,Indonesia,2,0,0,2,0,0,0
20,2020-03-05,Indonesia,2,0,0,2,0,0,0
21,2020-03-06,Indonesia,4,0,0,4,2,0,0
22,2020-03-07,Indonesia,4,0,0,4,0,0,0
23,2020-03-08,Indonesia,6,0,0,6,2,0,0
24,2020-03-09,Indonesia,19,0,0,19,13,0,0
25,2020-03-10,Indonesia,27,0,2,25,8,0,2
26,2020-03-11,Indonesia,34,1,2,31,7,1,0
27,2020-03-12,Indonesia,34,1,2,31,0,0,0
28,2020-03-13,Indonesia,69,4,2,63,35,3,0
29,2020-03-14,Indonesia,96,5,8,83,27,1,6
30,2020-03-15,Indonesia,117,5,8,104,21,0,0
31,2020-03-16,Indonesia,134,5,8,121,17,0,0
32,2020-03-17,Indonesia,172,5,8,159,38,0,0
33,2020-03-18,Indonesia,227,19,11,197,55,14,3
34,2020-03-19,Indonesia,311,25,11,275,84,6,0
35,2020-03-20,Indonesia,369,32,15,322,58,7,4
36,2020-03-21,Indonesia,450,38,15,397,81,6,0
37,2020-03-22,Indonesia,514,48,29,437,64,10,14
38,2020-03-23,Indonesia,579,49,30,500,65,1,1
39,2020-03-24,Indonesia,686,55,30,601,107,6,0
40,2020-03-25,Indonesia,790,58,31,701,104,3,1
41,2020-03-26,Indonesia,893,78,35,780,103,20,4
42,2020-03-27,Indonesia,1046,87,46,913,153,9,11
43,2020-03-28,Indonesia,1155,102,59,994,109,15,13
44,2020-03-29,Indonesia,1285,114,64,1107,130,12,5
45,2020-03-30,Indonesia,1414,122,75,1217,129,8,11
46,2020-03-31,Indonesia,1528,136,81,1311,114,14,6
47,2020-04-01,Indonesia,1677,157,103,1417,149,21,22
48,2020-04-02,Indonesia,1790,170,112,1508,113,13,9
49,2020-04-03,Indonesia,1986,181,134,1671,196,11,22
50,2020-04-04,Indonesia,2092,191,150,1751,106,10,16
51,2020-04-05,Indonesia,2273,198,164,1911,181,7,14
52,2020-04-06,Indonesia,2491,209,192,2090,218,11,28
53,2020-04-07,Indonesia,2738,221,204,2313,247,12,12
54,2020-04-08,Indonesia,2956,240,222,2494,218,19,18
55,2020-04-09,Indonesia,3293,280,252,2761,337,40,30
56,2020-04-10,Indonesia,3512,306,282,2924,219,26,30
57,2020-04-11,Indonesia,3842,327,286,3229,330,21,4
58,2020-04-12,Indonesia,4241,373,359,3509,399,46,73
59,2020-04-13,Indonesia,4557,399,380,3778,316,26,21
60,2020-04-14,Indonesia,4839,459,426,3954,282,60,46
61,2020-04-15,Indonesia,5136,469,446,4221,297,10,20
62,2020-04-16,Indonesia,5516,496,548,4472,380,27,102
63,2020-04-17,Indonesia,5923,520,607,4796,407,24,59
64,2020-04-18,Indonesia,6248,535,631,5082,325,15,24
65,2020-04-19,Indonesia,6575,582,686,5307,327,47,55
66,2020-04-20,Indonesia,6760,590,747,5423,185,8,61
67,2020-04-21,Indonesia,7135,616,842,5677,375,26,95
68,2020-04-22,Indonesia,7418,635,913,5870,283,19,71
69,2020-04-23,Indonesia,7775,647,960,6168,357,12,47
70,2020-04-24,Indonesia,8211,689,1002,6520,436,42,42
71,2020-04-25,Indonesia,8607,720,1042,6845,396,31,40
72,2020-04-26,Indonesia,8882,743,1107,7032,275,23,65
73,2020-04-27,Indonesia,9096,765,1151,7180,214,22,44
74,2020-04-28,Indonesia,9511,773,1254,7484,415,8,103
75,2020-04-29,Indonesia,9771,784,1391,7596,260,11,137
76,2020-04-30,Indonesia,10118,792,1522,7804,347,8,131
77,2020-05-01,Indonesia,10551,800,1591,8160,433,8,69
78,2020-05-02,Indonesia,10843,831,1665,8347,292,31,74
79,2020-05-03,Indonesia,11192,845,1876,8471,349,14,211
80,2020-05-04,Indonesia,11587,864,1954,8769,395,19,78
81,2020-05-05,Indonesia,12071,872,2197,9002,484,8,243
82,2020-05-06,Indonesia,12438,895,2317,9226,367,23,120
83,2020-05-07,Indonesia,12776,930,2381,9465,338,35,64
84,2020-05-08,Indonesia,13112,943,2494,9675,336,13,113
85,2020-05-09,Indonesia,13645,959,2607,10079,533,16,113
86,2020-05-10,Indonesia,14032,973,2698,10361,387,14,91
87,2020-05-11,Indonesia,14265,991,2881,10393,233,18,183
88,2020-05-12,Indonesia,14749,1007,3063,10679,484,16,182
89,2020-05-13,Indonesia,15438,1028,3287,11123,689,21,224
90,2020-05-14,Indonesia,16006,1043,3518,11445,568,15,231
91,2020-05-15,Indonesia,16496,1076,3803,11617,490,33,285
92,2020-05-16,Indonesia,17025,1089,3911,12025,529,13,108
93,2020-05-17,Indonesia,17514,1148,4129,12237,489,59,218
94,2020-05-18,Indonesia,18010,1191,4324,12495,496,43,195
95,2020-05-19,Indonesia,18496,1221,4467,12808,486,30,143
96,2020-05-20,Indonesia,19189,1242,4575,13372,693,21,108
97,2020-05-21,Indonesia,20162,1278,4838,14046,973,36,263
98,2020-05-22,Indonesia,20796,1326,5057,14413,634,48,219
99,2020-05-23,Indonesia,21745,1351,5249,15145,949,25,192
100,2020-05-24,Indonesia,22271,1372,5402,15497,526,21,153
101,2020-05-25,Indonesia,22750,1391,5642,15717,479,19,240
102,2020-05-26,Indonesia,23165,1418,5877,15870,415,27,235
103,2020-05-27,Indonesia,23851,1473,6057,16321,686,55,180
104,2020-05-28,Indonesia,24538,1496,6240,16802,687,23,183
105,2020-05-29,Indonesia,25216,1520,6492,17204,678,24,252
106,2020-05-30,Indonesia,25773,1573,7015,17185,557,53,523
107,2020-05-31,Indonesia,26473,1613,7308,17552,700,40,293
108,2020-06-01,Indonesia,26940,1641,7637,17662,467,28,329
109,2020-06-02,Indonesia,27549,1663,7935,17951,609,22,298
110,2020-06-03,Indonesia,28233,1698,8406,18129,684,35,471
111,2020-06-04,Indonesia,28818,1721,8892,18205,585,23,486
112,2020-06-05,Indonesia,29521,1770,9443,18308,703,49,551
113,2020-06-06,Indonesia,30514,1801,9907,18806,993,31,464
114,2020-06-07,Indonesia,31186,1851,10498,18837,672,50,591
115,2020-06-08,Indonesia,32033,1883,10904,19246,847,32,406
116,2020-06-09,Indonesia,33076,1923,11414,19739,1043,40,510
117,2020-06-10,Indonesia,34316,1959,12129,20228,1240,36,715
118,2020-06-11,Indonesia,35295,2000,12636,20659,979,41,507
119,2020-06-12,Indonesia,36406,2048,13213,21145,1111,48,577
120,2020-06-13,Indonesia,37420,2091,13776,21553,1014,43,563
121,2020-06-14,Indonesia,38277,2134,14531,21612,857,43,755
122,2020-06-15,Indonesia,39294,2198,15123,21973,1017,64,592
123,2020-06-16,Indonesia,40400,2231,15703,22466,1106,33,580
124,2020-06-17,Indonesia,41431,2276,16243,22912,1031,45,540
125,2020-06-18,Indonesia,42762,2339,16798,23625,1331,63,555
126,2020-06-19,Indonesia,43803,2373,17349,24081,1041,34,551
127,2020-06-20,Indonesia,45029,2429,17883,24717,1226,56,534
128,2020-06-21,Indonesia,45891,2465,18404,25022,862,36,521
129,2020-06-22,Indonesia,46845,2500,18735,25610,954,35,331
130,2020-06-23,Indonesia,47896,2535,19241,26120,1051,35,506
131,2020-06-24,Indonesia,49009,2573,19658,26778,1113,38,417
132,2020-06-25,Indonesia,50187,2620,20449,27118,1178,47,791
133,2020-06-26,Indonesia,51427,2683,21333,27411,1240,63,884
134,2020-06-27,Indonesia,52812,2720,21909,28183,1385,37,576
135,2020-06-28,Indonesia,54010,2754,22936,28320,1198,34,1027
136,2020-06-29,Indonesia,55092,2805,23800,28487,1082,51,864
137,2020-06-30,Indonesia,56385,2876,24806,28703,1293,71,1006
138,2020-07-01,Indonesia,57770,2934,25595,29241,1385,58,789
139,2020-07-02,Indonesia,59394,2987,26667,29740,1624,53,1072
140,2020-07-03,Indonesia,60695,3036,27568,30091,1301,49,901
141,2020-07-04,Indonesia,62142,3089,28219,30834,1447,53,651
142,2020-07-05,Indonesia,63749,3171,29105,31473,1607,82,886
143,2020-07-06,Indonesia,64958,3241,29919,31798,1209,70,814
144,2020-07-07,Indonesia,66226,3309,30785,32132,1268,68,866
145,2020-07-08,Indonesia,68079,3359,31585,33135,1853,50,800
146,2020-07-09,Indonesia,70736,3417,32651,34668,2657,58,1066
147,2020-07-10,Indonesia,72347,3469,33529,35349,1611,52,878
148,2020-07-11,Indonesia,74018,3535,34719,35764,1671,66,1190
149,2020-07-12,Indonesia,75699,3606,35638,36455,1681,71,919
150,2020-07-13,Indonesia,76981,3656,36689,36636,1282,50,1051
151,2020-07-14,Indonesia,78572,3710,37636,37226,1591,54,947
152,2020-07-15,Indonesia,80094,3797,39050,37247,1522,87,1414
153,2020-07-16,Indonesia,81668,3873,40345,37450,1574,76,1295
154,2020-07-17,Indonesia,83130,3957,41834,37339,1462,84,1489
155,2020-07-18,Indonesia,84882,4016,43268,37598,1752,59,1434
156,2020-07-19,Indonesia,86521,4143,45401,36977,1639,127,2133
157,2020-07-20,Indonesia,88214,4239,46977,36998,1693,96,1576
158,2020-07-21,Indonesia,89869,4320,48466,37083,1655,81,1489
159,2020-07-22,Indonesia,91751,4459,50255,37037,1882,139,1789
160,2020-07-23,Indonesia,93657,4576,52164,36917,1906,117,1909
161,2020-07-24,Indonesia,95418,4665,53945,36808,1761,89,1781
162,2020-07-25,Indonesia,97286,4714,55354,37218,1868,49,1409
163,2020-07-26,Indonesia,98778,4781,56655,37342,1492,67,1301
164,2020-07-27,Indonesia,100303,4838,58173,37292,1525,57,1518
165,2020-07-28,Indonesia,102051,4901,60539,36611,1748,63,2366
166,2020-07-29,Indonesia,104432,4975,62138,37319,2381,74,1599
167,2020-07-30,Indonesia,106336,5058,64292,36986,1904,83,2154
168,2020-07-31,Indonesia,108376,5131,65907,37338,2040,73,1615
169,2020-08-01,Indonesia,109936,5193,67919,36824,1560,62,2012
170,2020-08-02,Indonesia,111455,5236,68975,37244,1519,43,1056
171,2020-08-03,Indonesia,113134,5302,70237,37595,1679,66,1262
172,2020-08-04,Indonesia,115056,5388,72050,37618,1922,86,1813
173,2020-08-05,Indonesia,116871,5452,73889,37530,1815,64,1839
174,2020-08-06,Indonesia,118753,5521,75645,37587,1882,69,1756
175,2020-08-07,Indonesia,121226,5593,77557,38076,2473,72,1912
176,2020-08-08,Indonesia,123503,5658,79306,38539,2277,65,1749
177,2020-08-09,Indonesia,125396,5723,80952,38721,1893,65,1646
178,2020-08-10,Indonesia,127083,5765,82236,39082,1687,42,1284
179,2020-08-11,Indonesia,128776,5824,83710,39242,1693,59,1474
180,2020-08-12,Indonesia,130718,5903,85798,39017,1942,79,2088
181,2020-08-13,Indonesia,132816,5968,87558,39290,2098,65,1760
182,2020-08-14,Indonesia,135123,6021,89618,39484,2307,53,2060
183,2020-08-15,Indonesia,137468,6071,91321,40076,2345,50,1703
184,2020-08-16,Indonesia,139549,6150,93103,40296,2081,79,1782
185,2020-08-17,Indonesia,141370,6207,94458,40705,1821,57,1355
186,2020-08-18,Indonesia,143043,6277,96306,40460,1673,70,1848
187,2020-08-19,Indonesia,144945,6346,98657,39942,1902,69,2351
188,2020-08-20,Indonesia,147211,6418,100674,40119,2266,72,2017
189,2020-08-21,Indonesia,149408,6500,102991,39917,2197,82,2317
190,2020-08-22,Indonesia,151498,6594,105198,39706,2090,94,2207
191,2020-08-23,Indonesia,153535,6680,107500,39355,2037,86,2302
192,2020-08-24,Indonesia,155412,6759,111060,37593,1877,79,3560
193,2020-08-25,Indonesia,157859,6858,112867,38134,2447,99,1807
194,2020-08-26,Indonesia,160165,6944,115409,37812,2306,86,2542
195,2020-08-27,Indonesia,162884,7064,118575,37245,2719,120,3166
196,2020-08-28,Indonesia,165887,7169,120900,37818,3003,105,2325
197,2020-08-29,Indonesia,169195,7261,122802,39132,3308,92,1902
198,2020-08-30,Indonesia,172053,7343,124185,40525,2858,82,1383
199,2020-08-31,Indonesia,174796,7417,125959,41420,2743,74,1774
200,2020-09-01,Indonesia,177571,7505,128057,42009,2775,88,2098
201,2020-09-02,Indonesia,180646,7616,129971,43059,3075,111,1914
202,2020-09-03,Indonesia,184268,7750,132055,44463,3622,134,2084
203,2020-09-04,Indonesia,187537,7832,134181,45524,3269,82,2126
204,2020-09-05,Indonesia,190665,7940,136401,46324,3128,108,2220
205,2020-09-06,Indonesia,194109,8025,138575,47509,3444,85,2174
206,2020-09-07,Indonesia,196989,8130,140652,48207,2880,105,2077
207,2020-09-08,Indonesia,200035,8230,142958,48847,3046,100,2306
208,2020-09-09,Indonesia,203342,8336,145200,49806,3307,106,2242
209,2020-09-10,Indonesia,207203,8456,147510,51237,3861,120,2310
210,2020-09-11,Indonesia,210940,8544,150217,52179,3737,88,2707
211,2020-09-12,Indonesia,214746,8650,152458,53638,3806,106,2241
212,2020-09-13,Indonesia,218382,8723,155010,54649,3636,73,2552
213,2020-09-14,Indonesia,221523,8841,158405,54277,3141,118,3395
214,2020-09-15,Indonesia,225030,8965,161065,55000,3507,124,2660
215,2020-09-16,Indonesia,228993,9100,164101,55792,3963,135,3036
216,2020-09-17,Indonesia,232628,9222,166686,56720,3635,122,2585
217,2020-09-18,Indonesia,236519,9336,170774,56409,3891,114,4088
218,2020-09-19,Indonesia,240687,9448,174350,56889,4168,112,3576
219,2020-09-20,Indonesia,244676,9553,177327,57796,3989,105,2977
220,2020-09-21,Indonesia,248852,9677,180797,58378,4176,124,3470
221,2020-09-22,Indonesia,252923,9837,184298,58788,4071,160,3501
222,2020-09-23,Indonesia,257388,9977,187958,59453,4465,140,3660
223,2020-09-24,Indonesia,262022,10105,191853,60064,4634,128,3895
224,2020-09-25,Indonesia,266845,10218,196196,60431,4823,113,4343
225,2020-09-26,Indonesia,271339,10308,199403,61628,4494,90,3207
226,2020-09-27,Indonesia,275213,10386,203014,61813,3874,78,3611
227,2020-09-28,Indonesia,278722,10473,206870,61379,3509,87,3856
228,2020-09-29,Indonesia,282724,10601,210437,61686,4002,128,3567
229,2020-09-30,Indonesia,287008,10740,214947,61321,4284,139,4510
230,2020-10-01,Indonesia,291182,10856,218487,61839,4174,116,3540
231,2020-10-02,Indonesia,295499,10972,221340,63187,4317,116,2853
232,2020-10-03,Indonesia,299506,11055,225052,63399,4007,83,3712
233,2020-10-04,Indonesia,303498,11151,228453,63894,3992,96,3401
234,2020-10-05,Indonesia,307120,11253,232593,63274,3622,102,4140
235,2020-10-06,Indonesia,311176,11374,236437,63365,4056,121,3844
236,2020-10-07,Indonesia,315714,11472,240291,63951,4538,98,3854
237,2020-10-08,Indonesia,320564,11580,244060,64924,4850,108,3769
238,2020-10-09,Indonesia,324658,11677,247667,65314,4094,97,3607
239,2020-10-10,Indonesia,328952,11765,251481,65706,4294,88,3814
240,2020-10-11,Indonesia,333449,11844,255027,66578,4497,79,3546
241,2020-10-12,Indonesia,336716,11935,258519,66262,3267,91,3492
242,2020-10-13,Indonesia,340622,12027,263296,65299,3906,92,4777
243,2020-10-14,Indonesia,344749,12156,267851,64742,4127,129,4555
244,2020-10-15,Indonesia,349160,12268,273661,63231,4411,112,5810
245,2020-10-16,Indonesia,353461,12347,277544,63570,4301,79,3883
246,2020-10-17,Indonesia,357762,12431,281592,63739,4301,84,4048
247,2020-10-18,Indonesia,361867,12511,285324,64032,4105,80,3732
248,2020-10-19,Indonesia,365240,12617,289243,63380,3373,106,3919
249,2020-10-20,Indonesia,368842,12734,293653,62455,3602,117,4410
250,2020-10-21,Indonesia,373109,12857,297509,62743,4267,123,3856
251,2020-10-22,Indonesia,377541,12959,301006,63576,4432,102,3497
252,2020-10-23,Indonesia,381910,13077,305100,63733,4369,118,4094
253,2020-10-24,Indonesia,385980,13205,309219,63556,4070,128,4119
254,2020-10-25,Indonesia,389712,13299,313764,62649,3732,94,4545
255,2020-10-26,Indonesia,392934,13411,317672,61851,3222,112,3908
256,2020-10-27,Indonesia,396454,13512,322248,60694,3520,101,4576
257,2020-10-28,Indonesia,400483,13612,325793,61078,4029,100,3545
258,2020-10-29,Indonesia,404048,13701,329778,60569,3565,89,3985
259,2020-10-30,Indonesia,406945,13782,334295,58868,2897,81,4517
260,2020-10-31,Indonesia,410088,13869,337801,58418,3143,87,3506
261,2020-11-01,Indonesia,412784,13943,341942,56899,2696,74,4141
262,2020-11-02,Indonesia,415402,14044,345566,55792,2618,101,3624
263,2020-11-03,Indonesia,418375,14146,349497,54732,2973,102,3931
264,2020-11-04,Indonesia,421731,14259,353282,54190,3356,113,3785
265,2020-11-05,Indonesia,425796,14348,357142,54306,4065,89,3860
266,2020-11-06,Indonesia,429574,14442,360705,54427,3778,94,3563
267,2020-11-07,Indonesia,433836,14540,364417,54879,4262,98,3712
268,2020-11-08,Indonesia,437716,14614,368298,54804,3880,74,3881
269,2020-11-09,Indonesia,440569,14689,372266,53614,2853,75,3968
270,2020-11-10,Indonesia,444348,14761,375741,53846,3779,72,3475
271,2020-11-11,Indonesia,448118,14836,378982,54300,3770,75,3241
272,2020-11-12,Indonesia,452291,14933,382084,55274,4173,97,3102
273,2020-11-13,Indonesia,457735,15037,385094,57604,5444,104,3010
274,2020-11-14,Indonesia,463007,15148,388094,59765,5272,111,3000
275,2020-11-15,Indonesia,467113,15211,391991,59911,4106,63,3897
276,2020-11-16,Indonesia,470648,15296,395443,59909,3535,85,3452
277,2020-11-17,Indonesia,474455,15393,398636,60426,3807,97,3193
278,2020-11-18,Indonesia,478720,15503,402347,60870,4265,110,3711
279,2020-11-19,Indonesia,483518,15600,406612,61306,4798,97,4265
280,2020-11-20,Indonesia,488310,15678,410552,62080,4792,78,3940
281,2020-11-21,Indonesia,493308,15774,413955,63579,4998,96,3403
282,2020-11-22,Indonesia,497668,15884,418188,63596,4360,110,4233
283,2020-11-23,Indonesia,502110,16002,422386,63722,4442,118,4198
284,2020-11-24,Indonesia,506302,16111,425313,64878,4192,109,2927
285,2020-11-25,Indonesia,511836,16225,429807,65804,5534,114,4494
286,2020-11-26,Indonesia,516753,16352,433649,66752,4917,127,3842
287,2020-11-27,Indonesia,522581,16521,437456,68604,5828,169,3807
288,2020-11-28,Indonesia,527999,16646,441983,69370,5418,125,4527
289,2020-11-29,Indonesia,534266,16815,445793,71658,6267,169,3810
290,2020-11-30,Indonesia,538883,16945,450518,71420,4617,130,4725
291,2020-12-01,Indonesia,543975,17081,454879,72015,5092,136,4361
292,2020-12-02,Indonesia,549508,17199,458880,73429,5533,118,4001
293,2020-12-03,Indonesia,557877,17355,462553,77969,8369,156,3673
294,2020-12-04,Indonesia,563680,17479,466178,80023,5803,124,3625
295,2020-12-05,Indonesia,569707,17589,470449,81669,6027,110,4271
296,2020-12-06,Indonesia,575796,17740,474771,83285,6089,151,4322
297,2020-12-07,Indonesia,581550,17867,479202,84481,5754,127,4431
298,2020-12-08,Indonesia,586842,18000,483497,85345,5292,133,4295
299,2020-12-09,Indonesia,592900,18171,487445,87284,6058,171,3948
300,2020-12-10,Indonesia,598933,18336,491975,88622,6033,165,4530
301,2020-12-11,Indonesia,605243,18511,496886,89846,6310,175,4911
302,2020-12-12,Indonesia,611631,18653,501376,91602,6388,142,4490
303,2020-12-13,Indonesia,617820,18819,505836,93165,6189,166,4460
304,2020-12-14,Indonesia,623309,18956,510957,93396,5489,137,5121
305,2020-12-15,Indonesia,629429,19111,516656,93662,6120,155,5699
306,2020-12-16,Indonesia,636154,19248,521984,94922,6725,137,5328
307,2020-12-17,Indonesia,643508,19390,526979,97139,7354,142,4995
308,2020-12-18,Indonesia,650197,19514,531995,98688,6689,124,5016
309,2020-12-19,Indonesia,657948,19659,536260,102029,7751,145,4265
310,2020-12-20,Indonesia,664930,19880,541811,103239,6982,221,5551
311,2020-12-21,Indonesia,671778,20085,546884,104809,6848,205,5073
312,2020-12-22,Indonesia,678125,20257,552722,105146,6347,172,5838
313,2020-12-23,Indonesia,685639,20408,558703,106528,7514,151,5981
314,2020-12-24,Indonesia,692838,20589,563980,108269,7199,181,5277
